,id,qid1,qid2,question1,question2,bot?,number_likes,is_duplicate
0,0,1,2,What is the step by step guide to invest in share market in india?,What is the step by step guide to invest in share market?,False,30634,0
1,1,3,4,What is the story of Kohinoor (Koh-i-Noor) Diamond?,What would happen if the Indian government stole the Kohinoor (Koh-i-Noor) diamond back?,False,64192,0
2,2,5,6,How can I increase the speed of my internet connection while using a VPN?,How can Internet speed be increased by hacking through DNS?,False,1396,0
3,3,7,8,Why am I mentally very lonely? How can I solve it?,"Find the remainder when [math]23^{24}[/math] is divided by 24,23?",False,24049,0
4,4,9,10,"Which one dissolve in water quikly sugar, salt, methane and carbon di oxide?",Which fish would survive in salt water?,False,13076,0
5,5,11,12,Astrology: I am a Capricorn Sun Cap moon and cap rising...what does that say about me?,"I'm a triple Capricorn (Sun, Moon and ascendant in Capricorn) What does this say about me?",True,39043,1
6,6,13,14,Should I buy tiago?,What keeps childern active and far from phone and video games?,False,23706,0
7,7,15,16,How can I be a good geologist?,What should I do to be a great geologist?,False,55358,1
8,8,17,18,When do you use シ instead of し?,"When do you use ""&"" instead of ""and""?",True,6283,0
9,9,19,20,Motorola (company): Can I hack my Charter Motorolla DCX3400?,How do I hack Motorola DCX3400 for free internet?,False,14407,0
10,10,21,22,Method to find separation of slits using fresnel biprism?,What are some of the things technicians can tell about the durability and reliability of Laptops and its components?,True,36966,0
11,11,23,24,How do I read and find my YouTube comments?,How can I see all my Youtube comments?,False,55838,1
12,12,25,26,What can make Physics easy to learn?,How can you make physics easy to learn?,False,38067,1
13,13,27,28,What was your first sexual experience like?,What was your first sexual experience?,False,16707,1
14,14,29,30,"What are the laws to change your status from a student visa to a green card in the US, how do they compare to the immigration laws in Canada?",What are the laws to change your status from a student visa to a green card in the US? How do they compare to the immigration laws in Japan?,False,15650,0
15,15,31,32,What would a Trump presidency mean for current international master’s students on an F1 visa?,How will a Trump presidency affect the students presently in US or planning to study in US?,True,18628,1
16,16,33,34,What does manipulation mean?,What does manipulation means?,True,9351,1
17,17,35,36,Why do girls want to be friends with the guy they reject?,How do guys feel after rejecting a girl?,False,13291,0
18,18,37,38,Why are so many Quora users posting questions that are readily answered on Google?,Why do people ask Quora questions which can be answered easily by Google?,False,62646,1
19,19,39,40,Which is the best digital marketing institution in banglore?,Which is the best digital marketing institute in Pune?,True,705,0
20,20,41,42,Why do rockets look white?,Why are rockets and boosters painted white?,False,14765,1
21,21,43,44,What's causing someone to be jealous?,What can I do to avoid being jealous of someone?,True,32895,0
22,22,45,46,What are the questions should not ask on Quora?,Which question should I ask on Quora?,True,31170,0
23,23,47,48,How much is 30 kV in HP?,Where can I find a conversion chart for CC to horsepower?,False,53255,0
24,24,49,50,What does it mean that every time I look at the clock the numbers are the same?,How many times a day do a clock’s hands overlap?,True,50799,0
25,25,51,52,What are some tips on making it through the job interview process at Medicines?,What are some tips on making it through the job interview process at Foundation Medicine?,False,37841,0
26,26,53,54,What is web application?,What is the web application framework?,True,12266,0
27,27,55,56,Does society place too much importance on sports?,How do sports contribute to the society?,False,17890,0
28,28,57,58,What is best way to make money online?,What is best way to ask for money online?,False,39464,0
